Product,Manufacturer,Status,Indication
Opsumit(macitentan),Actelion Pharmaceuticals Ltd.,Concluded without agreement,Pulmonary Arterial Hypertension
Caprelsa(vandetanib),Sanofi Genzyme Canada,Concluded without agreement,Medullary Thyroid Cancer
Jakavi(ruxolintib),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Polycythemia vera
Alecensaro(alectinib),Hoffmann-La Roche Ltd.,Negotiations were not pursued,Non-Small Cell Lung Cancer (with CNS metastases)
Stelara(ustekinumab),Janssen Inc.,Negotiations were not pursued,Psoriatic Arthritis
Votrient(pazopanib hydrochloride),GlaxoSmithKline Inc.,Concluded with an LOI,Metastatic Renal Cell Carcinoma
Signifor(pasireotide diaspartate),Novartis Pharmaceuticals Canada Inc.,Negotiations were not pursued,Cushing's disease
Samsca(tolvaptan),Otsuka Canada Pharmaceutical Inc.,Negotiations were not pursued,"Hyponatremia, non-hypovolemic"
Imbruvica(ibrutinib),Janssen Inc.,Concluded with an LOI,Chronic Lymphocytic Leukemia: As monotherapy for the treatment of patients with chronic lymphocytic leukemia (CLL) who have received at least one prior therapy.
Grastofil(filgrastim),ApoPharm Inc.,Concluded with an LOI,Neutropenia in various indications (Prevention or treatment)
Xolair(omalizumab),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Chronic Idiopathic Urticaria
Imbruvica(ibrutinib),Janssen Inc.,Concluded with an LOI,Mantle Cell Lymphoma
Lenvima(lenvatinib),Eisai Limited,Concluded with an LOI,Differentiated Thyroid Cancer
Mozobil(plerixafor),Sanofi-Aventis Canada Inc.,Concluded with an LOI,Non-Hodgkin's Lymphoma and Multiple Myeloma
Rituxan SC(rituximab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Acute Lymphoblastic Leukemia (ALL)
Otezla(apremilast),Celgene Inc.,Concluded without agreement,"Psoriasis, moderate to severe plaque"
Forxiga(dapagliflozin),AstraZeneca Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 2"
Vectibix(panitumumab),Amgen Canada Inc.,Concluded with an LOI,Metastatic Colorectal Cancer
Cotellic(cobimetinib),Hoffmann-La Roche Ltd.,Concluded with an LOI,Metastatic Melanoma
Esbriet(pirfenidone),Hoffmann-La Roche Ltd.,Concluded with an LOI,"Pulmonary fibrosis (idiopathic, mild to moderate)"
Ferriprox(deferiprone),ApoPharm Inc.,Concluded with an LOI,Transfusional iron overload due to thalassemia
Ofev(nintedanib),Boehringer Ingelheim (Canada) Ltd.,Concluded with an LOI,Idiopathic pulmonary fibrosis (IPF)
Simponi SC(golimumab),Janssen Inc.,Concluded with an LOI,Ulcerative Colitis
Arnuity Ellipta(fluticasone furoate),GlaxoSmithKline Inc.,Concluded with an LOI,Asthma
Breo Ellipta(fluticasone furoate/vilanterol),GlaxoSmithKline Inc.,Concluded with an LOI,Asthma
Opdivo(nivolumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,Metastatic Renal Cell Carcinoma
Cosentyx(secukinumab),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,"Psoriasis, moderate to severe plaque"
Opdivo(nivolumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,Non-small Cell Lung Cancer
Opdivo(nivolumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,Metastatic Melanoma
Lemtrada(alemtuzumab),Sanofi Genzyme Canada,Concluded with an LOI,"Multiple Sclerosis, Relapsing-Remitting"
Xeljanz(tofacitinib),Pfizer Canada ULC,Concluded with an LOI,Rheumatoid Arthritis
Daklinza(daclatasvir),Bristol Myers Squibb Canada Inc.,Concluded without agreement,Chronic Hepatitis C
Zydelig(idelalisib),Gilead Sciences Canada Inc.,Negotiations were not pursued,"Follicular lymphoma, Relapsed or refractory"
Jardiance(empagliflozin),Boehringer Ingelheim (Canada) Ltd.,Concluded with an LOI,"Diabetes Mellitus, Type 2 with high cardiovascular risk"
Trajenta/Jentaduo(linagliptin (linagliptin/metformin)),Boehringer Ingelheim (Canada) Ltd.,Concluded with an LOI,"Diabetes Mellitus, Type 2"
Nesina(alogliptin),Takeda Canada Inc.,Negotiations were not pursued,"Diabetes Mellitus, Type 2"
Prezcobix(darunavir/cobicistat),Janssen Inc.,Concluded with an LOI,HIV-1 Infection
Inspiolto Respimat(tiotropium/olodaterol),Boehringer Ingelheim (Canada) Ltd.,Concluded with an LOI,"Heart failure, NYHA class II"
Spiriva Respimat(tiotropium bromide),Boehringer Ingelheim (Canada) Ltd.,Concluded with an LOI,Chronic Obstructive Pulmonary Disease (COPD)
Byetta(exenatide),AstraZeneca Canada Inc.,Concluded without agreement,"Diabetes Mellitus, Type 2"
Blincyto(blinatumomab),Amgen Canada Inc.,Concluded with an LOI,Acute Lymphoblastic Leukemia (ALL)
Januvia(sitagliptin phosphate),Merck Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 2"
Janumet(sitagliptin phosphate),Merck Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 2"
Kazano(alogliptin/metformin),Takeda Canada Inc.,Negotiations were not pursued,"Diabetes Mellitus, Type 2"
Cimzia(certolizumab pegol),UCB Canada Inc.,Concluded with an LOI,Ankylosing spondylitis
Butrans(buprenorphine),Purdue Pharma,Concluded without agreement,"Pain, persistent (moderate intensity)"
Actemra SC(tocilizumab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Rheumatoid Arthritis
Incruse Ellipta(umeclidinium),GlaxoSmithKline Inc.,Concluded with an LOI,Chronic Obstructive Pulmonary Disease (COPD)
Duaklir Genuair(aclidinium bromide/formoterol fumarate dihydrate),AstraZeneca Canada Inc.,Concluded with an LOI,Chronic Obstructive Pulmonary Disease (COPD)
Inflectra(infliximab),Hospira Healthcare Corporation,Concluded with an LOI,"Ankylosing spondylitis, plaque psoriasis, psoriatic arthritis, rheumatoid arthritis"
Jinarc(tolvaptan),Otsuka Canada Pharmaceutical Inc.,Negotiations were not pursued,Autosomal dominant polycystic kidney disease (ADPKD)
Imbruvica(ibrutinib),Janssen Inc.,Negotiations were not pursued,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma
Darzalex(daratumumab),Janssen Inc.,Negotiations were not pursued,Multiple Myeloma
Intuniv XR(guanfacine hydrochloride),Shire Pharma Canada ULC,Negotiations were not pursued,Attention-deficit/hyperactivity disorder (ADHD)
Aptiom(eslicarbazepine acetate),Sunovion Pharmaceuticals Canada Inc.,Concluded with an LOI,"Epilepsy, partial-onset seizures"
Simbrinza(brinzolamide/brimonidine),Alcon Canada Inc.,Concluded with an LOI,Glaucoma and Ocular Hypertension
Humira(adalimumab),AbbVie Corporation,Negotiations were not pursued,Hidradenitis Suppurativa
Cyramza(ramucirumab),Eli Lilly Canada Inc.,Concluded with an LOI,Advanced or Metastatic Gastric Cancer or Gastro-esophageal Junction (GEJ) Adenocarcinoma
Eliquis(apixaban),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,"Thromboembolic events (venous), treatment and prevention of recurrence"
Holkira Pak(ombitasvir/paritaprevir/ritonavir/dasabuvir),AbbVie Corporation,Concluded with an LOI,Chronic Hepatitis C
Abilify Maintena(aripiprazole),Otsuka Canada Pharmaceutical Inc.,Concluded with an LOI,Schizophrenia
Grastek(phleum pratense),Merck Canada Inc.,Negotiations were not pursued,Allergy
Yondelis(trabectedin),Janssen Inc.,Negotiations were not pursued,Metastatic Liposarcoma or Leiomyosarcoma
Fentora(fentanyl buccal),Teva Canada Ltd.,Negotiations were not pursued,"Pain (breakthrough), cancer (adults)"
Fampyra(fampridine),Biogen Canada Inc.,Negotiations were not pursued,"Multiple Sclerosis, improve walking disability"
Sylvant(siltuximab),Janssen Inc.,Concluded with an LOI,Multicentric Castleman's Disease (MCD)
Anoro Ellipta(umeclidinium/vilanterol),GlaxoSmithKline Inc.,Concluded with an LOI,Chronic Obstructive Pulmonary Disease (COPD)
Revlimid(lenalidomide),Celgene Inc.,Concluded with an LOI,Multiple Myeloma (newly diagnosed)
Rebif(interferon beta-1a),"EMD Serono Canada, a division of EMD Inc.",Concluded with an LOI,Clinically Isolated Syndrome
Ultibro Breezhaler(indacaterol/glycopyrronium),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Chronic Obstructive Pulmonary Disease (COPD)
Myrbetriq(mirabegron),Astellas Pharma Inc.,Concluded with an LOI,Overactive Bladder
Tivicay(dolutegravir),ViiV Healthcare,Concluded with an LOI,HIV-1 Infection
Inspra(eplerenone),Pfizer Canada ULC,Concluded with an LOI,Post myocardial infarction
Iclusig(ponatinib),Paladin Labs Inc.,Concluded with an LOI,Chronic Myeloid Leukemia/Acute Lymphoblastic Leukemia
Sovaldi(sofosbuvir),Gilead Sciences Canada Inc.,Concluded with an LOI,Chronic Hepatitis C
Breo Ellipta(fluticasone furoate/vilanterol),GlaxoSmithKline Inc.,Concluded with an LOI,Chronic Obstructive Pulmonary Disease (COPD)
Egrifta(tesamorelin),Theratechnologies Inc.,Negotiations were not pursued,"Lipodystrophy, HIV-infected patients"
Edarbyclor(azilsartan medoxomil/chlorthalidone),Takeda Canada Inc.,Negotiations were not pursued,Hypertension
Zydelig(idelalisib),Gilead Sciences Canada Inc.,Concluded with an LOI,Chronic lymphocytic leukemia
Edarbi(azilsartan medoxomil),Takeda Canada Inc.,Negotiations were not pursued,Hypertension
Dymista(azelastine/fluticasone propionate),Meda Pharmaceuticals,Negotiations were not pursued,Seasonal allergic rhinitis
Tafinlar/Mekinist(dabrafenib/trametinib),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Metastatic Melanoma
Cortiment(budesonide),Ferring Inc.,Negotiations were not pursued,Ulcerative Colitis
Jetrea(ocriplasmin),Alcon Canada Inc.,Concluded with an LOI,Vitreomacular Adhesion
Constella(linaclotide),Forest Laboratories Canada,Negotiations were not pursued,Irritable bowel syndrome with constipation
Xarelto(rivaroxaban),Bayer Inc.,Concluded with an LOI,"Thromboembolic events (venous), pulmonary embolism"
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,Metastatic Melanoma
Zykadia(ceritinib),Novartis Pharmaceuticals Canada Inc.,Negotiations were not pursued,Non-Small Cell Lung Cancer (metastatic)
Bosulif(bosutinib),Pfizer Canada ULC,Concluded with an LOI,Chronic Myeloid Leukemia
Bystolic(nebivolol),Allergan Inc.,Negotiations were not pursued,Hypertension
Avastin(bevacizumab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Cervical Cancer
Xalkori(crizotinib),Pfizer Canada ULC,Concluded with an LOI,Non-Small Cell Lung Cancer (First Line)
Istodax(romidepsin),Celgene Inc.,Concluded with an LOI,Peripheral T-cell Lymphoma (PTCL)
Perjeta/Herceptin(pertuzumab/trastuzumab),Hoffmann-La Roche Ltd.,Negotiations were not pursued,Neoadjuvant Breast Cancer
Apprilon(doxycycline monohydrate),Galderma Canada Inc.,Negotiations were not pursued,Rosacea
Nexavar(sorafenib),Bayer Inc.,Negotiations were not pursued,Metastatic Progressive Differentiated Thyroid Carcinoma
Aloxi IV(palonosetron hydrochloride),Eisai Limited,Negotiations were not pursued,Nausea and vomiting (chemotherapy induced) prevention
Aloxi(palonosetron hydrochloride),Eisai Limited,Negotiations were not pursued,Nausea and vomiting (chemotherapy induced) prevention
Xtandi(enzalutamide),Astellas Pharma Inc.,Concluded with an LOI,Metastatic Castration-Resistant Prostate Cancer
Afinitor(everolimus),Novartis Pharmaceuticals Canada Inc.,Negotiations were not pursued,Subependymal giant cell astrocytoma associated with tuberous sclerosis complex
Imbruvica(ibrutinib),Janssen Inc.,Concluded with an LOI,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma
Gazyva(obinutuzumab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Chronic Lymphocytic Leukemia: As monotherapy for the treatment of patients with chronic lymphocytic leukemia (CLL) who have received at least one prior therapy.
Abraxane(nab-paclitaxel),Celgene Inc.,Concluded with an LOI,Metastatic Pancreatic Cancer
Yervoy(ipilimumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,"Advanced Melanoma, first-line"
Arzerra(ofatumumab),GlaxoSmithKline Inc.,Negotiations were not pursued,Chronic Lymphocytic Leukemia: As monotherapy for the treatment of patients with chronic lymphocytic leukemia (CLL) who have received at least one prior therapy.
Afinitor(everolimus),Novartis Pharmaceuticals Canada Inc.,Negotiations were not pursued,Renal Angiomyolipoma Associated With Tuberous Sclerosis Complex (TSC)
Adempas(riociguat),Bayer Inc.,Negotiations were not pursued,Pulmonary Arterial Hypertension (WHO group 1)
Abilify(aripiprazole),Bristol Myers Squibb Canada Inc.,Negotiations were not pursued,Major Depressive Disorder
Pomalyst(pomalidomide),Celgene Inc.,Concluded with an LOI,Multiple Myeloma
Zaltrap(aflibercept),Regeneron,Negotiations were not pursued,Metastatic Colorectal Cancer
Effient(prasugrel),Eli Lilly Canada Inc.,Concluded with an LOI,Acute Coronary Syndrome
Seebri(glycopyrronium bromide),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Chronic Obstructive Pulmonary Disease (COPD)
Stribild(elvitegravir/cobicistat/emtricitabine/tenofovir disoproxil fumarate),Gilead Sciences Canada Inc.,Concluded with an LOI,HIV-1 Infection
Stivarga(regorafenib),Bayer Inc.,Concluded with an LOI,Gastrointestinal Stromal Tumours
Abilify(aripiprazole),Bristol Myers Squibb Canada Inc.,Concluded without agreement,Schizophrenia and Related Psychotic Disorders
Tysabri(natalizumab),Biogen Canada Inc.,Concluded with an LOI,"Multiple Sclerosis, Relapsing-Remitting"
Revlimid(lenalidomide),Celgene Inc.,Concluded with an LOI,Multiple Myeloma
Giotrif(afatinib),Boehringer Ingelheim (Canada) Ltd.,Concluded with an LOI,Advanced Non-Small Cell Lung Cancer
Mekinist(trametinib),GlaxoSmithKline Inc.,Concluded with an LOI,Metastatic Melanoma
Onbrez(indacaterol),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Chronic Obstructive Pulmonary Disease (COPD)
Gilenya(fingolimod),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Multiple Sclerosis
Tafinlar(dabrafenib),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Metastatic Melanoma
Xarelto(rivaroxaban),Bayer Inc.,Concluded with an LOI,"Atrial fibrillation, stroke prevention"
Pradaxa(dabigatran etexilate),Boehringer Ingelheim (Canada) Ltd.,Concluded with an LOI,Atrial fibrillation prevention of stroke and systemic embolism
Victoza(liraglutide),Novo Nordisk Canada Inc.,Concluded without agreement,"Diabetes Mellitus, Type 2"
Humira(adalimumab),AbbVie Corporation,Concluded with an LOI,Hidradenitis Suppurativa
Cinqair(reslizumab),Teva Canada Ltd.,Concluded without agreement,Eosinophilic Asthma
Erivedge(vismodegib),Hoffmann-La Roche Ltd.,Concluded with an LOI,Advanced Basal Cell Carcinoma
Kadcyla(trastuzumab emtansine),Hoffmann-La Roche Ltd.,Concluded with an LOI,Metastatic Breast Cancer
Alimta(pemetrexed),Eli Lilly Canada Inc.,Concluded with an LOI,Advanced Non-Squamous Non-Small Cell Lung Cancer
Adcetris(brentuximab vedotin),Seattle Genetics Inc.,Concluded with an LOI,Systemic Anaplastic Large Cell Lymphoma
Xiaflex(collagenase clostridium histolyticum),Auxillium Pharmaceuticals Inc.,Negotiations were not pursued,Dupuytren’s contracture with a palpable cord
Xgeva(denosumab),Amgen Canada Inc.,Negotiations were not pursued,Prevention of skeletal-related events due to bone metastases from breast cancer
Zytiga(abiraterone),Janssen Inc.,Concluded with an LOI,Metastatic Castration-Resistant Prostate Cancer
Victoza(liraglutide),Novo Nordisk Canada Inc.,Concluded without agreement,"Diabetes Mellitus, Type 2"
Erbitux(cetuximab),Eli Lilly Canada Inc.,Negotiations were not pursued,Metastatic Colorectal Cancer
Votrient(pazopanib hydrochloride),GlaxoSmithKline Inc.,Concluded with an LOI,Metastatic Renal Cell Carcinoma
Technivie(ombitasvir/paritaprevir/ritonavir),AbbVie Corporation,Concluded without agreement,Chronic Hepatitis C (genotype 4)
Soliris(eculizumab),Alexion Pharma Canada Corp.,Concluded without agreement,Atypical hemolytic uremic syndrome
Inlyta(axitinib),Pfizer Canada ULC,Concluded with an LOI,Metastatic Renal Cell Carcinoma
Perjeta/Herceptin(pertuzumab/trastuzumab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Metastatic Breast Cancer
Afinitor(everolimus),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Pancreatic Neuroendocrine Tumors
Jadenu(deferasirox),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Chronic Iron Overload
Rosiver(ivermectin),Galderma Canada Inc.,Concluded without agreement,Rosacea
Sovaldi(sofosbuvir),Gilead Sciences Canada Inc.,Concluded with an LOI,Chronic Hepatitis C
Xtandi(enzalutamide),Astellas Pharma Inc.,Concluded with an LOI,Metastatic Castration-Resistant Prostate Cancer
Metadol-D(methadone hydrochloride),Paladin Labs Inc.,Concluded with an LOI,Opioid Dependence
Revolade(eltrombopag),GlaxoSmithKline Inc.,Negotiations were not pursued,Thrombocytopenia associated with chronic hepatitis c infection
Picato(ingenol mebutate),LEO Pharma Inc.,Negotiations were not pursued,Actinic keratosis
Inflectra(infliximab),Hospira Healthcare Corporation,Concluded with an LOI,"Ankylosing spondylitis, plaque psoriasis, psoriatic arthritis, rheumatoid arthritis, Crohn’s disease and Ulcerative Colitis"
Replagal(agalsidase alfa),Shire Pharma Canada ULC,Concluded with an LOI,Fabry Disease
Fabrazyme(agalsidase beta),Sanofi Genzyme Canada,Concluded with an LOI,Fabry Disease
Orkambi(lumacaftor/ivacaftor),Vertex Pharmaceuticals (Canada) Incorporated,Negotiations were not pursued,"Cystic Fibrosis, F508del CFTR mutation"
Jakavi(ruxolintib),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Myelofibrosis
Tobi Podhaler(tobramycin),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Pseuodomonas aeruginosa infections in cystic fibrosis
Campral(acamprosate calcium),Mylan Pharmaceuticals LLC,Concluded without agreement,Alcohol Abstinence
Sutent(sunitinib malate),Pfizer Canada ULC,Concluded with an LOI,Pancreatic Neuroendocrine Tumors
Zaxine(rifaximin),Lupin Pharma Canada Ltd.,Concluded with an LOI,Hepatic Encephalopathy
Juxtapid(lomitapide),Aegerion Pharmaceuticals Canada Ltd.,Negotiations were not pursued,Homozygous Familial Hypercholesterolemia
Tykerb & Letrozole(lapatinib),GlaxoSmithKline Inc.,Negotiations were not pursued,"Early breast cancer, Metastatic breast cancer, Metastatic gastric cancer"
Xalkori(crizotinib),Pfizer Canada ULC,Concluded with an LOI,Non-Squamous Non-Small Cell Lung Cancer
Fibristal(ulipristal acetate),Allergan Inc.,Concluded with an LOI,Uterine fibroids (signs and symptoms)
Firazyr(icatibant),Shire Pharma Canada ULC,Concluded with an LOI,Hereditary Angioedema
Invokana(canagliflozin),Janssen Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 2"
Diacomit(stiripentol),Biocodex SA,Concluded with an LOI,Dravet Syndrome (DS)
Triumeq(dolutegravir/abacavir/lamivudine),ViiV Healthcare,Concluded with an LOI,HIV-1 Infection
Eylea(aflibercept),Bayer Inc.,Concluded with an LOI,Age-Related Macular Degeneration
Ibavyr(ribavirin),"Pendopharm, a division of Pharmascience Inc.",Concluded with an LOI,Chronic Hepatitis C
Halaven(eribulin),Eisai Limited,Concluded with an LOI,Metastatic Breast Cancer
Remicade(infliximab),Janssen Inc.,Concluded with an LOI,"Rheumatoid Arthritis, Ulcerative Colitis and Crohn's Disease"
Harvoni(ledipasvir/sofosbuvir),Gilead Sciences Canada Inc.,Concluded with an LOI,Chronic Hepatitis C
Advair(salmeterol xinafoate/fluticasone propionate),GlaxoSmithKline Inc.,Concluded with an LOI,Chronic Obstructive Pulmonary Disease (COPD) and Asthma
Valtrex(valacyclovir),GlaxoSmithKline Inc.,Concluded with an LOI,Specific Viral Infections
Adempas(riociguat),Bayer Inc.,Concluded with an LOI,"Pulmonary hypertension, chronic thromboembolic"
Onglyza(saxagliptin),AstraZeneca Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 2"
Soliris(eculizumab),Alexion Pharma Canada Corp.,Concluded with an LOI,Paroxysmal nocturnal hemoglobinuria (PNH)
Aubagio(teriflunomide),Sanofi Genzyme Canada,Concluded with an LOI,"Multiple Sclerosis, Relapsing"
Orencia(abatacept),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,Rheumatoid Arthritis
Galexos(simeprevir),Janssen Inc.,Concluded with an LOI,Chronic Hepatitis C
Esbriet(pirfenidone),Hoffmann-La Roche Ltd.,Concluded with an LOI,"Pulmonary fibrosis (idiopathic, mild to moderate)"
Tudorza Genuair(aclidinium bromide),AstraZeneca Canada Inc.,Concluded with an LOI,Chronic Obstructive Pulmonary Disease (COPD)
Kalydeco(ivacaftor),Vertex Pharmaceuticals (Canada) Incorporated,Concluded with an LOI,Cystic Fibrosis patients (G551D mutation)
Lodalis(colesevelam hydrochloride),Valeant Canada,Concluded with an LOI,Hypercholesterolemia
Tecfidera(dimethyl fumarate),Biogen Canada Inc.,Concluded with an LOI,"Multiple Sclerosis, Relapsing"
Treanda(bendamustine hydrochloride),Lundbeck Canada Inc.,Concluded with an LOI,Non-Hodgkin's Lymphoma
Oralair(grass pollen allergen extract),Paladin Labs Inc.,Concluded with an LOI,Allergic Rhinitis
Benlysta(belimumab),GlaxoSmithKline Inc.,Negotiations were not pursued,Systemic lupus erythematosus
Mozobil(plerixafor),Sanofi-Aventis Canada Inc.,Concluded with an LOI,Non-Hodgkin's Lymphoma and Multiple Myeloma
Yervoy(ipilimumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,Advanced Melanoma
Dificid(fidaxomicin),Optimer Pharmaceuticals,Concluded with an LOI,Clostridium difficile infection
Eliquis(apixaban),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,"Thromboembolic events prevention, (atrial fibrillation)"
Replagal(agalsidase alfa),Shire Pharma Canada ULC,Concluded with an LOI,Fabry Disease
Fabrazyme(agalsidase beta),Sanofi Genzyme Canada,Concluded with an LOI,Fabry Disease
Brilinta(ticagrelor),AstraZeneca Canada Inc.,Concluded with an LOI,"Thrombotic events in Acute Coronary Syndromes, Prevention"
