Drug Name,Brand Name,Generic Name,PDF Links,Therapeutic Area,Recommendation,Status,Submission Date,Recommendation Date,Project Number
clindamycin plus benzoyl perox...Opens in new tab,Cabtreo,clindamycin plus benzoyl peroxide and adapalene,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0794_Recommendation.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0794_Cabtreo_Patient_and_Clinician_Input.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0794-Combined_Review.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0794_Cabtreo_Stakeholder_Feedback.pdf']",acne vulgaris,Reimburse with clinical criteria and/or conditions,Complete,08-Mar-24,18-Oct-24,SR0794-000
danicopanOpens in new tab,Voydeya,danicopan,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0815_Voydeya_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0815-Voydeya_Patient_Clinician_Group_Input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0815_Voydeya_Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0815_Voydeya_Stakeholder_Feedback.pdf']",Paroxysmal nocturnal hemoglobinuria (PNH),Reimburse with clinical criteria and/or conditions,Complete,04-Apr-24,18-Oct-24,SR0815-000
elexacaftor/tezacaftor/ivacaft...Opens in new tab,Trikafta,elexacaftor/tezacaftor/ivacaftor and ivacaftor,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0837_Trikafta_%20Final_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0837-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0837-Trikafta%20_Feedback.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0837_Trikaft_Patient_and_Clinician_Input.pdf']","Cystic fibrosis, F508del or responsive CFTR mutation,  2 years and older",Reimburse with clinical criteria and/or conditions,Complete,05-Mar-24,17-Oct-24,SR0837-000
burosumabOpens in new tab,Crysvita,burosumab,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0818_Reassessment_Final_Recommendation.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0818_Crysvita_Patient_Clinician_Group_Input.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0818-Crysvita_Combined_Review.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0818-Crysvita_Stakeholder_Feedback.pdf']",Treatment of X-Linked Hypophosphatemia,Reimburse with clinical criteria and/or conditions,Complete,02-Jan-24,10-Oct-24,SR0818-000
lebrikizumabOpens in new tab,Ebglyss,lebrikizumab,"['https://cda-amc.ca/sites/default/files/DRR/2024/SR0819_Ebglyss_FINAL_REC.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0819-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0819-Feedback.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0819_Ebglyss_Patient_Clinician_Input.pdf']",atopic dermatitis,Do not reimburse,Complete,01-Nov-23,09-Oct-24,SR0819-000
Prostate CancerOpens in new tab,,,['https://cda-amc.ca/sites/default/files/DRR/2024/PH0050-Prostate-Cancer.pdf'],Prostate Cancer,,Active,,09-Oct-24,PH0050-000
ivosidenibOpens in new tab,Tibsovo,ivosidenib,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0349_Final_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0349-Tibsovo_Patient_Clinician_Group_Input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PC0349_Tibsovo_Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PC0349_Tibsovo_Stakeholder_Feedback.pdf']",Acute myeloid leukemia (AML),Reimburse with clinical criteria and/or conditions,Complete,19-Mar-24,04-Oct-24,PC0349-000
pembrolizumabOpens in new tab,Keytruda,pembrolizumab,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0356_Final_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PC0356-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PC0356-Keytruda-Gastric_Feedback.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0356-Keytruda-Gastric_Patient_Clinician_Group.pdf']",Gastric or gastroesophageal junction (GEJ) adenocarcinoma,Reimburse with clinical criteria and/or conditions,Complete,13-Mar-24,04-Oct-24,PC0356-000
abemaciclibOpens in new tab,Verzenio,abemaciclib,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0345_Final_Recommendation.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0345_Verzenio_Patient_and_Clinician_Group_Input.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0345-Verzenio-Combined_Review.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0345-Verzenio-Stakeholder_Feedback.pdf']","Adjuvant treatment of HR-positive, HER2-negative early breast cancer",Reimburse with clinical criteria and/or conditions,Complete,09-Feb-24,03-Oct-24,PC0345-000
osimertinibOpens in new tab,Tagrisso,osimertinib,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0336_Final_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0336-Tagrisso_Patient_Clinician_Group_Input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PC0336-Tagrisso_Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PC0336-Tagrisso_Stakeholder_Feedback.pdf']",Non-small cell lung cancer,Reimburse with clinical criteria and/or conditions,Complete,11-Dec-23,03-Oct-24,PC0336-000
baricitinibOpens in new tab,Olumiant,baricitinib,"['https://cda-amc.ca/sites/default/files/DRR/2024/SR0843REC-Olumiant.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0843_Patient_and_Clinician_Group_Input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0843-Olumiant-Combined_Review.pdf', 'https://cda-amc.ca/sites/default//files/DRR/2025/SR0843-Olumiant-Stakeholder-Feedback.pdf']","Alopecia areata, severe",Reimburse with clinical criteria and/or conditions,Complete,04-Mar-24,13-Sep-24,SR0843-000
secukinumabOpens in new tab,Cosentyx,secukinumab,"['https://cda-amc.ca/sites/default/files/DRR/2024/SR0781REC-Cosentyx-HS.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0781_Patient_Group_and_Clinician_Group_Input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0781-Cosentyx_Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0781_Cosentyx_Stakeholder_Feedback.pdf']",Hidradenitis suppurativa,Reimburse with clinical criteria and/or conditions,Complete,10-May-23,12-Sep-24,SR0781-000
capivasertibOpens in new tab,Truqap,capivasertib,"['https://www.cadth.ca/sites/default/files/DRR/2024/PC0341_Truqap-Final_Rec.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PC0341-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PC0341-Feedback.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0341-Truqap_Patient_Clinician_Group_Input.pdf']","HR-positive, HER2-negative locally advanced or metastatic breast cancer",Reimburse with clinical criteria and/or conditions,Complete,14-Feb-24,30-Aug-24,PC0341-000
Brentuximab vedotinOpens in new tab,Adcetris,Brentuximab vedotin,"['https://www.cadth.ca/sites/default/files/DRR/2024/PC0371REC-Adectris.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0371-Adcetris-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0371-Adcetris_Feedback.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0371-Adcetris_Patient_Clinician_Input.pdf']",Hodgkin lymphoma,Reimburse with clinical criteria and/or conditions,Complete,18-Apr-24,29-Aug-24,PC0371-000
remdesivirOpens in new tab,Veklury,remdesivir,"['https://cadth.ca/sites/default/files/DRR/2024/SR0833_Final_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0833-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0833-Veklury_Feedback.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0833-Veklury_Patient_Clinician_Group_Input.pdf']",COVID-19 in hospitalized patients,Reimburse with clinical criteria and/or conditions,Complete,01-Mar-24,16-Aug-24,SR0833-000
remdesivirOpens in new tab,Veklury,remdesivir,"['https://cda-amc.ca/sites/default/files/DRR/2024/SR0834_Final_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0834_Veklury_Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0834-Veklury_Patient_Clinician_Group_Input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0834_Veklury_Stakeholder_Feedback.pdf']",COVID-19 in non-hospitalized patients,Reimburse with clinical criteria and/or conditions,Complete,01-Mar-24,16-Aug-24,SR0834-000
inclisiranOpens in new tab,Leqvio,inclisiran,"['https://cadth.ca/sites/default/files/DRR/2024/SR0791-000REC-Leqvio_HeFH.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0791-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0791_Feedback.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0791_Patient_Clinician_Group_Input.pdf']",Primary hypercholesterolemia,Reimburse with clinical criteria and/or conditions,Complete,19-Sep-23,15-Aug-24,SR0791-000
cariprazineOpens in new tab,Vraylar,cariprazine,"['https://www.cadth.ca/sites/default/files/DRR/2024/SR0827_Final_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0827-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0827-Feedback.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0827-Vraylar-Resub_Patient_Clinician_Group_Input.pdf']",Schizophrenia,Reimburse with clinical criteria and/or conditions,Complete,20-Dec-23,15-Aug-24,SR0827-000
etrasimodOpens in new tab,Velsipity,etrasimod,"['https://cda-amc.ca/sites/default/files/DRR/2024/SR0795_Final_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0795-Velsipity_Patient_Clinician_Group_Input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0795_Velsipity_Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0795_Velsipity_Stakeholder_Feedback.pdf']",Ulcerative colitis,Reimburse with clinical criteria and/or conditions,Complete,05-Feb-24,14-Aug-24,SR0795-000
cabotegravirOpens in new tab,Apretude,cabotegravir,"['https://cadth.ca/sites/default/files/DRR/2024/SR0825_Final_Recommendation.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0825-Apretude_Patient_Clinician_Group_Input.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0825_Apretude_Combined_Review.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0825_Apretude_Stakeholder_Feedback.pdf']","HIV-1 infection, pre-exposure prophylaxis",Reimburse with clinical criteria and/or conditions,Complete,01-Feb-24,14-Aug-24,SR0825-000
evolocumabOpens in new tab,Repatha,evolocumab,"['https://cadth.ca/sites/default/files/DRR/2024/SR0821_Final_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0821-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0821-Feedback.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/SR0821-Repatha-Patient_Clinicia_%20Group_Input.pdf']",Primary hyperlipidemia,Reimburse with clinical criteria and/or conditions,Complete,29-Nov-23,08-Aug-24,SR0821-000
Multiple MyelomaOpens in new tab,,,['https://www.cadth.ca/sites/default/files/DRR/2024/PH0047_Multiple_Myeloma.pdf'],Multiple Myeloma,,Complete,,01-Aug-24,PH0047-000
Large B cell lymphomaOpens in new tab,,,['https://www.cadth.ca/sites/default/files/DRR/2024/PH0048_Rapid_Algorithm_Report_LBCL_Final.pdf'],Large B cell lymphoma,,Complete,,01-Aug-24,PH0048-000
Cutaneous MelanomaOpens in new tab,,,['https://www.cadth.ca/sites/default/files/DRR/2024/PH0049_Rapid_Algorithm_Report_Melanoma_Final.pdf'],Cutaneous Melanoma,,Complete,,01-Aug-24,PH0049-000
PembrolizumabOpens in new tab,N/A,Pembrolizumab,"['https://www.cadth.ca/sites/default/files/DRR/2024/PX0346_Final_Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PX0346_Report_DPI.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PX0346_%20Clinical_and_Pharmacoeconomic_Combined_Report.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PX0346_stakeholder_input.pdf']",Melanoma (Skin),Reimburse with clinical criteria and/or conditions,Complete,16-Oct-23,01-Aug-24,PX0346-000
Nivolumab and IpilimumabOpens in new tab,N/A,Nivolumab and Ipilimumab,"['https://www.cadth.ca/sites/default/files/DRR/2024/PX0347_Final_Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PX0347_DPI_table.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PX0347_Combine_Report.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PX0347_Stakeholder_consolidated_input.pdf']",Melanoma (Skin),Reimburse with clinical criteria and/or conditions,Complete,16-Oct-23,01-Aug-24,PX0347-000
Nab-paclitaxelOpens in new tab,N/A,Nab-paclitaxel,"['https://www.cadth.ca/sites/default/files/DRR/2024/PX0348_Final_Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PX0348_DPI_Table.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PX0348_Nab-Paclitaxel_combined.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PX0348_consolidated_input_Redacted.pdf']",Solid tumours,Reimburse with clinical criteria and/or conditions,Complete,16-Oct-23,24-Jul-24,PX0348-000
relugolixOpens in new tab,Orgovyx,relugolix,"['https://www.cadth.ca/sites/default/files/DRR/2024/PC0342_Final_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0342-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0342-Orgovyx_Feedback.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0342_Patient_and_Clinician_Group_Input.pdf']",Advanced prostate cancer,Reimburse with clinical criteria and/or conditions,Complete,14-Nov-23,22-Jul-24,PC0342-000
atogepantOpens in new tab,Qulipta,atogepant,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0817_Final_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0817-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0817-Feedback.pdf', 'http://www.cda-amc.ca/sites/default/files/DRR/2024/SR0817_Patient_and_Clinician_Group_Input.pdf']","Migraine, prevention",Reimburse with clinical criteria and/or conditions,Complete,21-Dec-23,15-Jul-24,SR0817-000
pembrolizumabOpens in new tab,Keytruda,pembrolizumab,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0344_Final_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0344-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0344_Feedback.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0344_Patient_and_Clinician_Group_Input.pdf']",Biliary tract carcinoma,Reimburse with clinical criteria and/or conditions,Complete,07-Dec-23,11-Jul-24,PC0344-000
Endometrial CancerOpens in new tab,,,['https://cadth.ca/sites/default/files/DRR/2024/PH0045-Endometrial-Cancer_Final.pdf'],Endometrial Cancer,,Complete,,27-Jun-24,PH0045-000
NSCLC without actionable oncog...Opens in new tab,,,['https://cadth.ca/sites/default/files/DRR/2024/PH0046_Final_Report_NSCLC.pdf'],NSCLC without actionable oncogenic alteration,,Complete,,27-Jun-24,PH0046-000
pembrolizumabOpens in new tab,Keytruda,pembrolizumab,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0343_Final_Recommendation.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0343_%20Patient_and_Clinician_Group_Input.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0343-Combined_Report.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0343_Stakeholder_Feedback.pdf']",Gastric or gastroesophageal junction adenocarcinoma,Reimburse with clinical criteria and/or conditions,Complete,22-Nov-23,26-Jun-24,PC0343-000
aflibercept 8mg/0.07mLOpens in new tab,Eylea HD,aflibercept 8mg/0.07mL,"['https://cda-amc.ca/sites/default/files/DRR/2024/SR0813_Eylea_HD_DME-Final_Rec.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0813_Eylea_HD_Patient_Clinician.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0813_Eylea_Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0813_Eylea_Stakeholder_Feedback.pdf']",diabetic macular edema,Reimburse with clinical criteria and/or conditions,Complete,18-Aug-23,05-Jun-24,SR0813-000
aflibercept 8mg/0.07mLOpens in new tab,Eylea HD,aflibercept 8mg/0.07mL,"['https://cda-amc.ca/sites/default/files/DRR/2024/SR0812_Eylea_HD_nAMD-Final_Rec.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0812_Patient_and_Clinician_Input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0812-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0812_Stakeholder_Feedback.pdf']","macular degeneration, age related",Reimburse with clinical criteria and/or conditions,Complete,18-Aug-23,05-Jun-24,SR0812-000
Cutaneous MelanomaOpens in new tab,,,"['https://cadth.ca/sites/default/files/DRR/2024/PH0042-Cutaneous-Melanoma.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PH0042%20Algorithm%20Panel%20Scope_Melanoma_final.pdf']",Cutaneous Melanoma,,Complete,,04-Jun-24,PH0042-000
elranatamabOpens in new tab,Elrexfio,elranatamab,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0315_Final_Recommendation.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0315_Patient_and_Clinician_Input.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0315-Combined_Report.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0315-Stakeholder_Feedback.pdf']",Relapsed or refractory multiple myeloma,Reimburse with clinical criteria and/or conditions,Complete,09-Nov-23,31-May-24,PC0315-000
epcoritamabOpens in new tab,Epkinly,epcoritamab,"['https://www.cadth.ca/sites/default/files/DRR/2024/PC0334_Epkinly-Final_Rec.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0334_Patient_and_Clinician_Group_Input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0334-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0334%20Epkinly-Feedback.pdf']",Relapsed or refractory diffuse large B-cell lymphoma,Time-limited reimbursement recommendation,Complete,14-Nov-23,31-May-24,PC0334-000
nivolumabOpens in new tab,Opdivo,nivolumab,"['https://cadth.ca/sites/default/files/DRR/2024/PC0339_Final_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0339-Opdivo-Melanoma-Combined-Report.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0339-Opdivo-Melanoma-DRAFT_REC.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0339_Patient_and_clinician_input.pdf']","Stage IIB or IIC melanoma, adjuvant",Reimburse with clinical criteria and/or conditions,Complete,06-Nov-23,29-May-24,PC0339-000
Colorectal cancerOpens in new tab,,,['https://cadth.ca/sites/default//files/DRR/2024/PH0044-Metastatic_Colorectal_Cancer.pdf'],Colorectal cancer,,Complete,,22-May-24,PH0044-000
insulin icodecOpens in new tab,Awiqli,insulin icodec,"['https://www.cadth.ca/sites/default/files/DRR/2024/SR0790REC-Awiqli.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0790-Awiqli-combined.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0790-Awiqli_Feedback_DRAFT_REC.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0790_Patient_and_Clinician_Group_Input.pdf']","Diabetes mellitus, type 2",Reimburse with clinical criteria and/or conditions,Complete,18-Oct-23,17-May-24,SR0790-000
bimekizumabOpens in new tab,Bimzelx,bimekizumab,"['https://cadth.ca/sites/default/files/DRR/2024/SR0809REC-Bimzelx.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0809-Combined_Report.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0809-Bimzelx_Feedback.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/SR0809_Patient_Clinician_Group_Input.pdf']",Ankylosing spondylitis,Reimburse with clinical criteria and/or conditions,Complete,19-Oct-23,16-May-24,SR0809-000
bimekizumabOpens in new tab,Bimzelx,bimekizumab,"['https://www.cadth.ca/sites/default/files/DRR/2024/SR0803%20Bimzelx%20PsA_Rec_final.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0803-Bimzelx-PsA-Combined-Report.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0803-Bimzelx-PsA-Stakeholder-Feedback.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0803%20Bimzelx%20PsA%20-%20Patient%20and%20Clinician%20Group%20Input.pdf']",Psoriatic arthritis,Reimburse with clinical criteria and/or conditions,Complete,05-Oct-23,15-May-24,SR0803-000
