Title,Brand Name,Generic Name,PDF Links,Therapeutic Area,Recommendation,Status,Submission Date,Recommendation Date,Project Number
secukinumab,Cosentyx,secukinumab,https://cda-amc.ca/sites/default/files/DRR/2024/SR0781REC-Cosentyx-HS.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0781_Patient_Group_and_Clinician_Group_Input.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SR0781-Cosentyx_Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SR0781_Cosentyx_Stakeholder_Feedback.pdf,Hidradenitis suppurativa,Reimburse with clinical criteria and/or conditions,Complete,"May 10, 2023","Sep 12, 2024",SR0781-000
capivasertib,Truqap,capivasertib,https://cda-amc.ca/sites/default/files/DRR/2025/PC0341-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PC0341-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PC0341-Truqap_Patient_Clinician_Group_Input.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PC0341_Truqap-Final_Rec.pdf,"HR-positive, HER2-negative locally advanced or metastatic breast cancer",Reimburse with clinical criteria and/or conditions,Complete,"Feb 14, 2024","Aug 30, 2024",PC0341-000
brentuximab vedotin,Adcetris,Brentuximab vedotin,https://cda-amc.ca/sites/default/files/DRR/2024/PC0371-Adcetris-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/PC0371-Adcetris_Feedback.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/PC0371-Adcetris_Patient_Clinician_Input.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PC0371REC-Adectris.pdf,Hodgkin lymphoma,Reimburse with clinical criteria and/or conditions,Complete,"Apr 18, 2024","Aug 29, 2024",PC0371-000
remdesivir,Veklury,remdesivir,https://cadth.ca/sites/default/files/DRR/2024/SR0833_Final_Recommendation.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0833-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0833-Veklury_Feedback.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0833-Veklury_Patient_Clinician_Group_Input.pdf,COVID-19 in hospitalized patients,Reimburse with clinical criteria and/or conditions,Complete,"Mar 1, 2024","Aug 16, 2024",SR0833-000
remdesivir,Veklury,remdesivir,https://cda-amc.ca/sites/default/files/DRR/2024/SR0834-Veklury_Patient_Clinician_Group_Input.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0834_Final_Recommendation.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0834_Veklury_Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0834_Veklury_Stakeholder_Feedback.pdf,COVID-19 in non-hospitalized patients,Reimburse with clinical criteria and/or conditions,Complete,"Mar 1, 2024","Aug 16, 2024",SR0834-000
inclisiran,Leqvio,inclisiran,https://cadth.ca/sites/default/files/DRR/2024/SR0791-000REC-Leqvio_HeFH.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0791-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0791_Feedback.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0791_Patient_Clinician_Group_Input.pdf,Primary hypercholesterolemia,Reimburse with clinical criteria and/or conditions,Complete,"Sep 19, 2023","Aug 15, 2024",SR0791-000
cariprazine,Vraylar,cariprazine,https://cda-amc.ca/sites/default/files/DRR/2024/SR0827-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0827-Feedback.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0827-Vraylar-Resub_Patient_Clinician_Group_Input.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/SR0827_Final_Recommendation.pdf,Schizophrenia,Reimburse with clinical criteria and/or conditions,Complete,"Dec 20, 2023","Aug 15, 2024",SR0827-000
etrasimod,Velsipity,etrasimod,https://cda-amc.ca/sites/default/files/DRR/2024/SR0795-Velsipity_Patient_Clinician_Group_Input.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0795_Final_Recommendation.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0795_Velsipity_Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0795_Velsipity_Stakeholder_Feedback.pdf,Ulcerative colitis,Reimburse with clinical criteria and/or conditions,Complete,"Feb 5, 2024","Aug 14, 2024",SR0795-000
cabotegravir,Apretude,cabotegravir,https://cadth.ca/sites/default/files/DRR/2024/SR0825_Final_Recommendation.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0825-Apretude_Patient_Clinician_Group_Input.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0825_Apretude_Combined_Review.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0825_Apretude_Stakeholder_Feedback.pdf,"HIV-1 infection, pre-exposure prophylaxis",Reimburse with clinical criteria and/or conditions,Complete,"Feb 1, 2024","Aug 14, 2024",SR0825-000
evolocumab,Repatha,evolocumab,https://cadth.ca/sites/default/files/DRR/2024/SR0821-Repatha-Patient_Clinicia_%20Group_Input.pdf; https://cadth.ca/sites/default/files/DRR/2024/SR0821_Final_Recommendation.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0821-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0821-Feedback.pdf,Primary hyperlipidemia,Reimburse with clinical criteria and/or conditions,Complete,"Nov 29, 2023","Aug 8, 2024",SR0821-000
multiple myeloma,N/A,N/A,https://www.cadth.ca/sites/default/files/DRR/2024/PH0047_Multiple_Myeloma.pdf,Multiple Myeloma,N/A,Complete,N/A,"Aug 1, 2024",PH0047-000
large b cell lymphoma,N/A,N/A,https://www.cadth.ca/sites/default/files/DRR/2024/PH0048_Rapid_Algorithm_Report_LBCL_Final.pdf,Large B cell lymphoma,N/A,Complete,N/A,"Aug 1, 2024",PH0048-000
cutaneous melanoma,N/A,N/A,https://www.cadth.ca/sites/default/files/DRR/2024/PH0049_Rapid_Algorithm_Report_Melanoma_Final.pdf,Cutaneous Melanoma,N/A,Complete,N/A,"Aug 1, 2024",PH0049-000
pembrolizumab,N/A,Pembrolizumab,https://www.cadth.ca/sites/default/files/DRR/2024/PX0346_%20Clinical_and_Pharmacoeconomic_Combined_Report.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PX0346_Final_Recommendation.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PX0346_Report_DPI.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PX0346_stakeholder_input.pdf,Melanoma (Skin),Reimburse with clinical criteria and/or conditions,Complete,"Oct 16, 2023","Aug 1, 2024",PX0346-000
nivolumab and ipilimumab,N/A,Nivolumab and Ipilimumab,https://www.cadth.ca/sites/default/files/DRR/2024/PX0347_Combine_Report.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PX0347_DPI_table.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PX0347_Final_Recommendation.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PX0347_Stakeholder_consolidated_input.pdf,Melanoma (Skin),Reimburse with clinical criteria and/or conditions,Complete,"Oct 16, 2023","Aug 1, 2024",PX0347-000
nab paclitaxel,N/A,Nab-paclitaxel,https://cadth.ca/sites/default/files/DRR/2024/PX0348_Nab-Paclitaxel_combined.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PX0348_DPI_Table.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PX0348_Final_Recommendation.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PX0348_consolidated_input_Redacted.pdf,Solid tumours,Reimburse with clinical criteria and/or conditions,Complete,"Oct 16, 2023","Jul 24, 2024",PX0348-000
relugolix,Orgovyx,relugolix,https://cda-amc.ca/sites/default/files/DRR/2024/PC0342-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/PC0342-Orgovyx_Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PC0342_Final_Recommendation.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PC0342_Patient_and_Clinician_Group_Input.pdf,Advanced prostate cancer,Reimburse with clinical criteria and/or conditions,Complete,"Nov 14, 2023","Jul 22, 2024",PC0342-000
atogepant,Qulipta,atogepant,http://www.cda-amc.ca/sites/default/files/DRR/2024/SR0817_Patient_and_Clinician_Group_Input.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0817-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0817-Feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0817_Final_Recommendation.pdf,"Migraine, prevention",Reimburse with clinical criteria and/or conditions,Complete,"Dec 21, 2023","Jul 15, 2024",SR0817-000
pembrolizumab,Keytruda,pembrolizumab,https://cda-amc.ca/sites/default/files/DRR/2024/PC0344-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/PC0344_Feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0344_Final_Recommendation.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0344_Patient_and_Clinician_Group_Input.pdf,Biliary tract carcinoma,Reimburse with clinical criteria and/or conditions,Complete,"Dec 7, 2023","Jul 11, 2024",PC0344-000
endometrial cancer,N/A,N/A,https://cadth.ca/sites/default/files/DRR/2024/PH0045-Endometrial-Cancer_Final.pdf,Endometrial Cancer,N/A,Complete,N/A,"Jun 27, 2024",PH0045-000
nsclc without actionable oncogenic alteration,N/A,N/A,https://cadth.ca/sites/default/files/DRR/2024/PH0046_Final_Report_NSCLC.pdf,NSCLC without actionable oncogenic alteration,N/A,Complete,N/A,"Jun 27, 2024",PH0046-000
pembrolizumab,Keytruda,pembrolizumab,https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0343-Combined_Report.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0343_%20Patient_and_Clinician_Group_Input.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0343_Final_Recommendation.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0343_Stakeholder_Feedback.pdf,Gastric or gastroesophageal junction adenocarcinoma,Reimburse with clinical criteria and/or conditions,Complete,"Nov 22, 2023","Jun 26, 2024",PC0343-000
aflibercept 8mg007ml,Eylea HD,aflibercept 8mg/0.07mL,https://cda-amc.ca/sites/default/files/DRR/2024/SR0813_Eylea_Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0813_Eylea_HD_DME-Final_Rec.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0813_Eylea_Stakeholder_Feedback.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SR0813_Eylea_HD_Patient_Clinician.pdf,diabetic macular edema,Reimburse with clinical criteria and/or conditions,Complete,"Aug 18, 2023","Jun 5, 2024",SR0813-000
aflibercept 8mg007ml,Eylea HD,aflibercept 8mg/0.07mL,https://cda-amc.ca/sites/default/files/DRR/2024/SR0812-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0812_Eylea_HD_nAMD-Final_Rec.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0812_Patient_and_Clinician_Input.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0812_Stakeholder_Feedback.pdf,"macular degeneration, age related",Reimburse with clinical criteria and/or conditions,Complete,"Aug 18, 2023","Jun 5, 2024",SR0812-000
cutaneous melanoma,N/A,N/A,https://cadth.ca/sites/default/files/DRR/2024/PH0042%20Algorithm%20Panel%20Scope_Melanoma_final.pdf; https://cadth.ca/sites/default/files/DRR/2024/PH0042-Cutaneous-Melanoma.pdf,Cutaneous Melanoma,N/A,Complete,N/A,"Jun 4, 2024",PH0042-000
elranatamab,Elrexfio,elranatamab,https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0315-Combined_Report.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0315-Stakeholder_Feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0315_Final_Recommendation.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0315_Patient_and_Clinician_Input.pdf,Relapsed or refractory multiple myeloma,Reimburse with clinical criteria and/or conditions,Complete,"Nov 9, 2023","May 31, 2024",PC0315-000
epcoritamab,Epkinly,epcoritamab,https://cda-amc.ca/sites/default/files/DRR/2024/PC0334%20Epkinly-Feedback.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/PC0334-Combined_Review.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PC0334_Epkinly-Final_Rec.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PC0334_Patient_and_Clinician_Group_Input.pdf,Relapsed or refractory diffuse large B-cell lymphoma,Time-limited reimbursement recommendation,Complete,"Nov 14, 2023","May 31, 2024",PC0334-000
nivolumab,Opdivo,nivolumab,https://cadth.ca/sites/default/files/DRR/2024/PC0339_Final_Recommendation.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/PC0339-Opdivo-Melanoma-Combined-Report.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/PC0339-Opdivo-Melanoma-DRAFT_REC.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PC0339_Patient_and_clinician_input.pdf,"Stage IIB or IIC melanoma, adjuvant",Reimburse with clinical criteria and/or conditions,Complete,"Nov 6, 2023","May 29, 2024",PC0339-000
colorectal cancer,N/A,N/A,https://cadth.ca/sites/default//files/DRR/2024/PH0044-Metastatic_Colorectal_Cancer.pdf,Colorectal cancer,N/A,Complete,N/A,"May 22, 2024",PH0044-000
insulin icodec,Awiqli,insulin icodec,https://cda-amc.ca/sites/default/files/DRR/2024/SR0790-Awiqli-combined.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0790-Awiqli_Feedback_DRAFT_REC.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/SR0790REC-Awiqli.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/SR0790_Patient_and_Clinician_Group_Input.pdf,"Diabetes mellitus, type 2",Reimburse with clinical criteria and/or conditions,Complete,"Oct 18, 2023","May 17, 2024",SR0790-000
bimekizumab,Bimzelx,bimekizumab,https://cadth.ca/sites/default/files/DRR/2024/SR0809REC-Bimzelx.pdf; https://cadth.ca/sites/default/files/DRR/2024/SR0809_Patient_Clinician_Group_Input.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0809-Bimzelx_Feedback.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0809-Combined_Report.pdf,Ankylosing spondylitis,Reimburse with clinical criteria and/or conditions,Complete,"Oct 19, 2023","May 16, 2024",SR0809-000
bimekizumab,Bimzelx,bimekizumab,https://www.cadth.ca/sites/default/files/DRR/2024/SR0803%20Bimzelx%20PsA%20-%20Patient%20and%20Clinician%20Group%20Input.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/SR0803%20Bimzelx%20PsA_Rec_final.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/SR0803-Bimzelx-PsA-Combined-Report.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/SR0803-Bimzelx-PsA-Stakeholder-Feedback.pdf,Psoriatic arthritis,Reimburse with clinical criteria and/or conditions,Complete,"Oct 5, 2023","May 15, 2024",SR0803-000
metreleptin,Myalepta,metreleptin,https://cadth.ca/sites/default/files/DRR/2024/SR0784REC-Myalepta.pdf; https://cadth.ca/sites/default/files/DRR/2024/SR0784_Patient_and_Clinician_Group_Input.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0784-Combined.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0784-Myalepta-Feedback.pdf,Leptin deficiency in lipodystrophy,Reimburse with clinical criteria and/or conditions,Complete,"Jul 25, 2023","May 9, 2024",SR0784-000
tralokinumab,Adtralza,tralokinumab,https://cadth.ca/sites/default/files/DRR/2024/SR0787REC-Adtralza.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/SR0787%20Adtralza%20-%20Patient%20and%20Clinician%20Group%20Input.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0787-Adtralza-Combined-Report.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0787-Adtralza-Stakeholder-Feedback.pdf,atopic dermatitis (AD),Do not reimburse,Complete,"Jun 5, 2023","May 8, 2024",SR0787-000
avatrombopag,Doptelet,avatrombopag,https://cadth.ca/sites/default/files/DRR/2024/SR0721%20Doptelet_Rec_final.pdf; https://cadth.ca/sites/default/files/DRR/2024/SR0721_Patient_and_Clinician_Group_Input.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0721-Doptelet-Combined-Report.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0721-Doptelet-Feedback.pdf,Chronic immune thrombocytopenia (ITP),Do not reimburse,Complete,"Feb 3, 2022","May 8, 2024",SR0721-000
dostarlimab,Jemperli,dostarlimab,https://www.cadth.ca/sites/default/files/DRR/2024/PC0325%20Jemperli%20-%20Patient%20and%20Clinician%20Input.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PC0325%20Jemperli_Rec.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PC0325_Combined_Report.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PC0325_Stakeholder_Feedback.pdf,Endometrial cancer,Reimburse with clinical criteria and/or conditions,Complete,"Oct 18, 2023","May 3, 2024",PC0325-000
cemiplimab,Libtayo,cemiplimab,https://www.cadth.ca/sites/default/files/DRR/2024/PC0331%20Libtayo%20-%20Patient%20and%20Clinician%20Input.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PC0331-Libtayo_Rec.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0331-Libtayo-combined.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0331-Libtayo_%20Feedback.pdf,Locally advanced or metastatic NSCLC (first line),Reimburse with clinical criteria and/or conditions,Complete,"Sep 27, 2023","May 2, 2024",PC0331-000
infliximab,Remsima,infliximab,https://cadth.ca/sites/default/files/DRR/2024/SR0816-000%20%26%20SR0816-001%20Remsima%20SC%20-%20Patient%20and%20Clinician%20Group%20Input.pdf; https://cadth.ca/sites/default/files/DRR/2024/SR0816-000%20Remsima%20SC%20(CD)%20-%20Final%20Rec.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0816-000_Clinical_and_Pharmacoeconomic_Combined_Report.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0816-000_Stakeholder_Feedback.pdf,Crohn’s disease,Reimburse with clinical criteria and/or conditions,Complete,"Oct 4, 2023","Apr 22, 2024",SR0816-000
inclisiran,Leqvio,inclisiran,https://cadth.ca/sites/default/files/DRR/2024/SR0791-001_Resubmission_Final_Recommendation.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0791-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0791_Feedback.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0791_Patient_Clinician_Group_Input.pdf,Primary hypercholesterolemia,Do not reimburse,Complete,"Sep 19, 2023","Apr 22, 2024",SR0791-001
infliximab,Remsima,infliximab,https://www.cadth.ca/sites/default/files/DRR/2024/SR0816-000%20&%20SR0816-001%20Remsima%20SC%20-%20Patient%20and%20Clinician%20Group%20Input.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/SR0816-001%20Remsima%20SC%20(UC)%20-%20Final%20Rec.pdf,Ulcerative Colitis,Reimburse with clinical criteria and/or conditions,Complete,"Oct 4, 2023","Apr 22, 2024",SR0816-001
maralixibat,Livmarli,maralixibat,https://cadth.ca/sites/default/files/DRR/2024/SR0780-Livmarli_Rec.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0780-Livmarli-Combined-Report.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0780-Livmarli-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/SR0780%20Livmarli%20-%20Patient%20and%20Clinician%20input.pdf,Alagille syndrome,Reimburse with clinical criteria and/or conditions,Complete,"May 5, 2023","Apr 22, 2024",SR0780-000
etranacogene dezaparvovec,Hemgenix,etranacogene dezaparvovec,https://cadth.ca/sites/default/files/DRR/2024/SG0805%20Hemgenix%20-%20Final%20Rec.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SG0805-Hemgenix-Feedback_DRAFT_REC.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SG0805-Hemgenix_combined.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SG0805_Patient_Clinician_Group_Input.pdf,Hemophilia B,Reimburse with clinical criteria and/or conditions,Complete,"Oct 4, 2023","Apr 19, 2024",SG0805-000
everolimus,N/A,everolimus,https://cadth.ca/sites/default/files/DRR/2024/SX0814%20DPI%20Table.pdf; https://cadth.ca/sites/default/files/DRR/2024/SX0814%20Everolimus%20Recommendation_Final.pdf; https://cadth.ca/sites/default/files/DRR/2024/SX0814-Everolimus_combined.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SX0814-Stakeholder-Input.pdf,Renal angiomyolipoma associated with tuberous sclerosis,Reimburse with clinical criteria and/or conditions,Complete,"Jul 6, 2023","Apr 18, 2024",SX0814-000
panitumumab,N/A,panitumumab,https://cadth.ca/sites/default/files/DRR/2024/PX0333-DPI-table.pdf; https://cadth.ca/sites/default/files/DRR/2024/PX0333REC-Panitumumab.pdf; https://cadth.ca/sites/default/files/DRR/2024/PX0333_Combine_Report.pdf; https://cadth.ca/sites/default/files/DRR/2024/PX0333_Stakeholder_Input.pdf,Left-sided metastatic colorectal cancer (mCRC),Reimburse with clinical criteria and/or conditions,Complete,"May 19, 2023","Apr 18, 2024",PX0333-000
cannabidiol,Epidiolex,cannabidiol,https://cadth.ca/sites/default/files/DRR/2024/SR0800%20Epidiolex%20LGS%20-%20Final%20Rec.pdf; https://cadth.ca/sites/default/files/DRR/2024/SR0800%20Epidiolex%20LGS%20-%20Patient%20and%20Clinician%20Group%20Input.pdf; https://cadth.ca/sites/default/files/DRR/2024/SR0800-Epidiolex-LGS-Stakeholder-Feedback.pdf; https://cadth.ca/sites/default/files/DRR/2024/SR0800CL-Epidiolex-LGS-Combined-Report.pdf,Lennox-Gastaut Syndrome (LGS),Reimburse with clinical criteria and/or conditions,Complete,"Sep 20, 2023","Apr 18, 2024",SR0800-000
